Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Volts_output,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,Time
1.20,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-307.5625,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,8.1941,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.5440
1.17,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-307.4625,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,1.0900
1.14,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-307.4625,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,1.6360
1.11,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-307.4625,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,2.1820
1.08,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-307.4625,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,2.7280
1.05,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-307.4625,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,3.2740
1.02,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-307.4625,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,3.8200
0.99,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-307.4625,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,4.3660
0.96,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-307.4625,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0031,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,0.0041,-409.9500,4.9120
